location,people_fully_vaccinated_per_hundred,new_cases_smoothed_per_million,predicted_cases_per_million,residual
Afghanistan,23.66,4.99,151.74,-146.75
Albania,26.74,119.77,169.26,-49.48
Algeria,11.44,5.16,82.31,-77.15
Andorra,49.44,678.06,298.17,379.9
Angola,13.78,3.96,95.63,-91.68
Anguilla,56.76,397.24,339.78,57.46
Antigua and Barbuda,41.36,167.42,252.3,-84.88
Argentina,58.25,165.61,348.23,-182.62
Armenia,19.11,201.65,125.89,75.76
Aruba,70.76,387.78,419.3,-31.52
Australia,45.06,586.19,273.3,312.89
Austria,58.9,695.37,351.94,343.43
Azerbaijan,32.41,107.42,201.42,-94.01
Bahamas,27.08,127.39,171.15,-43.76
Bahrain,70.27,469.99,416.5,53.48
Bangladesh,52.99,8.52,318.35,-309.84
Barbados,44.09,647.11,267.78,379.33
Belarus,31.92,155.41,198.68,-43.27
Belgium,65.84,328.25,391.36,-63.11
Belize,33.24,186.29,206.15,-19.86
Benin,10.44,0.65,76.65,-76.0
Bermuda,54.9,480.69,329.18,151.51
Bhutan,67.84,142.95,402.69,-259.74
Bolivia,30.84,122.35,192.52,-70.17
Bonaire Sint Eustatius and Saba,34.01,448.7,210.54,238.17
Bosnia and Herzegovina,9.56,177.52,71.65,105.87
Botswana,29.91,210.61,187.22,23.39
Brazil,51.99,182.17,312.67,-130.5
British Virgin Islands,47.87,481.58,289.29,192.29
Brunei,44.42,341.28,269.68,71.61
Bulgaria,24.63,146.67,157.26,-10.58
Burkina Faso,6.18,0.88,52.43,-51.55
Burundi,0.14,3.03,18.15,-15.12
Cambodia,53.38,16.86,320.58,-303.72
Cameroon,2.97,3.78,34.2,-30.42
Canada,57.88,138.07,346.14,-208.07
Cape Verde,29.18,134.5,183.09,-48.58
Cayman Islands,62.26,329.53,371.0,-41.46
Central African Republic,22.53,1.48,145.31,-143.83
Chad,5.9,0.26,50.87,-50.6
Chile,70.56,304.64,418.17,-113.54
China,84.07,31.93,494.91,-462.98
Colombia,34.75,181.45,214.72,-33.27
Comoros,21.93,9.22,141.9,-132.68
Congo,3.89,5.72,39.43,-33.71
Cook Islands,69.2,957.1,410.42,546.67
Costa Rica,47.02,254.89,284.46,-29.57
Cote d'Ivoire,16.39,2.17,110.45,-108.28
Croatia,44.44,334.77,269.76,65.01
Cuba,75.82,118.3,448.04,-329.74
Curacao,44.97,406.02,272.78,133.24
Cyprus,47.88,523.08,289.35,233.73
Czechia,55.07,317.58,330.19,-12.6
Democratic Republic of Congo,1.91,1.34,28.21,-26.87
Denmark,65.07,552.66,386.99,165.67
Djibouti,16.24,4.96,109.61,-104.65
Dominica,33.36,527.43,206.82,320.62
Dominican Republic,45.72,55.41,277.05,-221.64
Ecuador,48.36,73.04,292.06,-219.02
Egypt,18.91,4.55,124.75,-120.2
El Salvador,39.58,33.8,242.2,-208.4
Equatorial Guinea,8.34,12.7,64.69,-51.99
Estonia,54.8,342.2,328.64,13.56
Eswatini,19.45,169.47,127.83,41.64
Ethiopia,21.8,0.79,141.16,-140.37
Falkland Islands,45.94,182.89,278.28,-95.39
Fiji,57.46,111.14,343.74,-232.6
Finland,60.03,524.51,358.33,166.18
France,60.37,623.85,360.28,263.57
French Polynesia,35.42,396.08,218.53,177.54
Gabon,4.71,24.36,44.09,-19.73
Gambia,8.89,4.03,67.83,-63.8
Georgia,20.6,986.13,134.37,851.77
Germany,58.88,533.43,351.83,181.6
Ghana,15.6,2.37,105.98,-103.61
Gibraltar,101.07,743.72,591.48,152.24
Greece,62.93,443.75,374.83,68.93
Greenland,36.58,463.52,225.13,238.38
Grenada,22.34,270.69,144.22,126.47
Guatemala,16.64,88.65,111.88,-23.23
Guernsey,41.1,457.16,250.78,206.37
Guinea,6.54,3.63,54.47,-50.85
Guinea-Bissau,8.59,4.97,66.11,-61.14
Guyana,28.72,142.86,180.48,-37.62
Haiti,0.75,2.45,21.6,-19.15
Honduras,33.69,42.69,208.71,-166.02
Hungary,41.95,328.9,255.66,73.25
Iceland,41.46,560.02,252.88,307.14
India,51.22,19.22,308.3,-289.09
Indonesia,27.23,36.1,172.0,-135.9
Iran,51.97,103.53,312.55,-209.01
Iraq,13.15,37.52,92.02,-54.5
Ireland,76.35,271.71,451.06,-179.35
Isle of Man,50.81,708.07,305.96,402.11
Israel,57.51,577.35,344.01,233.33
Italy,65.63,393.98,390.15,3.84
Jamaica,20.69,67.27,134.87,-67.6
Japan,66.3,341.68,393.99,-52.31
Jersey,63.33,906.85,377.1,529.75
Jordan,25.25,183.07,160.79,22.29
Kazakhstan,35.9,116.39,221.26,-104.87
Kenya,5.88,9.27,50.76,-41.49
Kiribati,33.83,59.49,209.49,-150.0
Kosovo,40.13,186.59,245.31,-58.73
Kuwait,74.42,105.39,440.09,-334.7
Kyrgyzstan,17.69,7.79,117.83,-110.04
Laos,30.33,44.89,189.63,-144.73
Latvia,41.94,763.06,255.58,507.48
Lebanon,23.45,299.75,150.58,149.17
Lesotho,28.82,20.37,181.06,-160.69
Liberia,25.56,2.55,162.51,-159.96
Libya,12.65,105.2,89.19,16.01
Lithuania,57.52,388.44,344.06,44.38
Luxembourg,2.89,275.94,33.73,242.22
Madagascar,5.38,0.87,47.88,-47.01
Malawi,3.63,7.48,37.94,-30.45
Malaysia,68.38,116.22,405.81,-289.59
Maldives,53.65,753.31,322.1,431.21
Mali,4.9,1.19,45.17,-43.98
Malta,71.2,250.83,421.79,-170.96
Mauritania,16.9,13.72,113.33,-99.62
Mauritius,65.82,234.67,391.24,-156.57
Mexico,28.67,74.28,180.19,-105.91
Moldova,21.42,246.27,138.99,107.27
Monaco,44.83,215.64,271.98,-56.35
Mongolia,55.34,712.55,331.69,380.86
Montenegro,33.13,456.33,205.53,250.8
Montserrat,33.36,237.46,206.87,30.59
Morocco,35.36,42.89,218.21,-175.32
Mozambique,23.14,11.19,148.78,-137.59
Myanmar,30.17,14.7,188.72,-174.03
Namibia,6.99,147.53,57.05,90.48
Nauru,57.16,2252.85,342.02,1910.83
Nepal,40.57,39.2,247.81,-208.61
Netherlands,55.72,437.96,333.84,104.12
New Caledonia,46.53,333.07,281.66,51.41
New Zealand,57.57,549.59,344.39,205.2
Nicaragua,64.55,1.7,384.03,-382.33
Niger,6.28,0.27,53.02,-52.74
Nigeria,6.81,1.07,56.04,-54.97
Niue,58.18,30.99,347.82,-316.83
North Macedonia,23.93,153.55,153.25,0.3
Norway,52.64,386.95,316.39,70.57
Oman,24.74,99.77,157.87,-58.1
Pakistan,38.44,4.71,235.72,-231.0
Palestine,14.46,188.05,99.46,88.59
Panama,43.64,217.03,265.25,-48.22
Papua New Guinea,2.35,4.14,30.69,-26.55
Paraguay,14.96,202.24,102.34,99.9
Peru,63.91,94.93,380.37,-285.44
Philippines,27.69,66.6,174.65,-108.05
Pitcairn,85.11,0.0,500.81,-500.81
Poland,47.88,126.08,289.33,-163.25
Portugal,69.78,501.52,413.75,87.77
Qatar,66.75,103.3,396.51,-293.22
Romania,26.69,229.37,168.93,60.45
